id,name,category,state,lng,lat
34bf65a5-608b-4620-9b3c-8bcf1fe7f2dd,"52",campground,AZ,-111.3960741,31.6414082
34f3e011-20d4-4912-890e-5a7fda8755e6,"6",campground,CA,-116.1218211,34.0004198
35f1bf81-fbf6-4d1e-9b95-857edb235983,"2119-001",dispersed_camping,WA,-117.090289315089,48.6000399181701
3881c055-0c10-4c1b-a05e-75ccc94123e8,"4",picnic_area,WA,-122.7797464,48.643328
38ddb36f-7d2f-473a-9310-4b24995c4a0e,"34",campground,AZ,-111.4390276,31.6509953
39416dd9-b08f-4c3e-9fb6-3bc347b41446,"46",campground,AZ,-111.4202239,31.6378023
3bb032e8-5c70-4799-b123-14c7c630db5e,"78",campground,AZ,-111.5706451,31.5331328
3e15e087-8fa6-4417-82b4-8b813a50a9c2,"JR3",toilet,CA,-116.0625752,33.9912739
3e1f8dc7-f1a0-4bf5-b0de-59b15408bf8f,"CS0571B",campground,NV,-118.2656575,35.1195509
3e63015c-2688-4a83-a569-3606c863a9f7,"6",campground,AZ,-111.5084034,31.7532085
3f721e85-9349-4754-932e-680cc048f406,"1",picnic_area,WA,-122.7801127,48.6432909
3fa5d2d3-0972-40ba-a242-bd67b0d707da,"A1",picnic_area,CA,-122.0610853,37.0406607
407a91c1-3391-4d24-a2e3-34595d5a6ab8,"46",campground,CA,-116.5840891,32.9051588
4085fed4-f51f-4495-8bc1-c0148a04d1d3,"302-004",dispersed_camping,WA,-117.052947124657,48.7882416246865
41cadc34-875c-428f-909a-5807ce5c2d5f,"9",campground,CA,-118.4735359,33.386672
428b9b48-64ae-4bd5-97c8-21fde8bb23fb,"38",campground,AZ,-111.4400881,31.6432985
464f9550-261a-4735-a1c1-75a5818e2dc5,"44",campground,AZ,-111.4221803,31.6525435
466101dd-cf80-47ac-8a0e-efb79a707319,"6",campground,CA,-121.0102726,35.9788353
468c0bbb-6f62-4a8d-ba14-1ac1e2953aad,"48",campground,AZ,-111.411129,31.6288774
46a366ff-d0f5-45cc-848c-6d4c9c555681,"308-001",dispersed_camping,WA,-117.090429870812,48.6231232396878
48d2cacb-3a5f-4b8a-895a-0572cb087f63,"SR517RD-001",dispersed_camping,OR,-116.475798686588,45.3679623451751
4924d1fd-a200-4711-80dd-40d058a0e8cd,"50",campground,AZ,-111.4032355,31.6343076
4b8fedab-8c4e-4518-b573-0a40dbba44ed,"5",campground,AZ,-111.4653014,31.7516721
4c0729b7-c99e-465a-a0e6-8f724077f525,"JR4",toilet,CA,-116.0606538,33.9915083
4c0b52bb-00b4-4fea-98c7-752dcfa45830,"CP1",dispersed_camping,UT,-109.8460596,38.1140778
4c168e0c-acd5-4f4e-8f4a-02ffd110d2d0,"23",campground,CA,-116.584435,32.9057202
4c4e69c8-7d5d-4ffa-8912-7ffde016fcd9,"55",campground,AZ,-111.3866493,31.630978
4f01f430-bda3-49e8-943f-f2a8d9c8a5a0,"7",campground,CA,-118.4921937,33.4414628
4faf9697-3265-45d5-a711-28f5a61c4048,"5",campground,CA,-118.4062041,33.3853606
4fe3ed98-7b8b-4987-b1e6-8b279b5e4383,"66",campground,AZ,-111.4574576,31.5839874
514d12c2-febf-4dbd-a168-282b3951b669,"1154-001",dispersed_camping,WA,-117.062197579939,48.7622403819637
537809e4-1268-4db6-a137-1a6976d10df6,"14b",campground,CA,-118.4708132,33.3860662
53dfe26e-9f72-4739-86fb-e27dbf8b5c48,"6",campground,CA,-116.5802449,32.9064926
53f9aedc-1a2d-4687-b922-8d147a8c5b6c,"5",picnic_area,WA,-122.7795935,48.6433325
5420ada1-fabc-41e2-90f5-fd77cd9ce671,"LYM-3",campground,AZ,-109.3755878,34.3602258
548dff79-6e42-40ef-b92b-d912a43cc11d,"CP4",dispersed_camping,UT,-109.8504723,38.107431
54d0964f-04d0-426a-b1b4-a157f0381d5c,"6",campground,CA,-118.4919805,33.4414997
57b2fe0e-4419-48fa-a1fe-46f9d1c9f445,"302E-001",dispersed_camping,WA,-117.058089694656,48.7441853112194
5c3ad308-94b6-4e51-9bfe-ba9bbc833df4,"3",campground,CA,-118.4727632,33.3877638
5c7b021d-276e-4cfa-8dc3-560acc43b17f,"2120-001",dispersed_camping,WA,-117.093519690504,48.6194872191112
5d92f68d-461f-4d13-bf24-03320f4d08bb,"WS1",dispersed_camping,UT,-109.799696,38.1224162
5f0b0732-2a34-4e1b-8652-fb087bd028d2,"4",campground,CA,-118.4922018,33.4417347
60291872-40d8-41fc-be7f-741f1f9dea9b,"53",campground,CA,-116.5854945,32.9056673
61e22f3b-a7db-4829-a8ea-9ddd9ed161ea,"SC19",campground,UT,-113.6397716,37.2029159
62113361-a58d-471d-8970-3fa209083168,"50",campground,CA,-116.5845645,32.9051124
661146bf-35a8-4ac3-a081-3a15f0b0da14,"72",campground,CA,-116.5834119,32.9030174
68fb422f-f94c-4057-9075-9646d0eedcb0,"61",campground,AZ,-111.4377165,31.6227061
6becf8e3-df0c-4652-a4d1-907de0160b8d,"4",campground,CA,-118.5498002,33.4730466
701ade57-0036-482a-bf85-53e9ddd30ac9,"1",campground,CA,-116.1207005,33.9989434
758826bd-7db9-45a1-b693-e3a195b1bf27,"6",campground,AZ,-111.4838285,31.7600869
76376444-3320-4585-ac1f-c60e746981ad,"5",campground,CA,-118.4726533,33.3873472
77886d34-c8bb-473b-babd-372a711758d3,"79",campground,AZ,-111.5112949,31.519197
79c19a3d-7873-4e79-aa69-b10640dcd0e3,"19",campground,AZ,-111.4349786,31.683772
7ae69db8-e1b9-41c1-b840-8d3bc0972727,"SC1",dispersed_camping,UT,-109.7422511,37.98436
7b1486be-0fae-46a6-8bef-93f3f62a8d91,"62",campground,AZ,-111.4423396,31.6165869
7bfde48f-69e2-49a2-90f9-599b91d1c25b,"54",campground,AZ,-111.3922632,31.6376439
7c54ce50-6f42-42ab-9df0-157e7c54cbd6,"71",campground,AZ,-111.4378539,31.5662192
7c6338ba-a308-479c-889e-7c0e366a75c4,"LC2",dispersed_camping,UT,-109.783401,38.1156197
7dbc5aef-f955-42b8-afff-97670175b08d,"30",campground,AZ,-111.4397684,31.656249
7ea1abec-f447-492c-9b5f-d786102de051,"7-Eleven",grocery,CA,-115.4968218,32.69346
7ecd0e6e-3635-4c48-b441-f5c5753a646f,"43",campground,CA,-118.4913609,33.4413083
7f50a841-09de-4b2f-9c5e-df995d5032b4,"29",campground,AZ,-111.4394116,31.6574385
7fa836c5-0edd-4dc0-9360-900304c1e22f,"7Charge",ev_charging,CA,-122.2616213,38.222731
7fb0a9f9-cee9-49b0-8519-90a5797db469,"302-006",dispersed_camping,WA,-117.06229427826,48.7554266115036
800c3c37-8816-49bd-8a97-265f61bb67de,"SR517RD-002",trailhead,OR,-116.451467486857,45.392613429512
82736d95-0158-4019-a8de-06eedfeb4d28,"7",campground,CA,-118.5505941,33.4727871
83690d49-2f63-47dc-afa5-96dfbfe58f85,"39",campground,AZ,-111.440786,31.642094
86ce78f2-65cc-4489-b797-6b68205e96e4,"6",campground,CA,-118.4726318,33.387009
88ef09fa-be2b-40fb-9b5d-5df4e10f11c7,"CS0593",campground,NV,-118.2670948,35.3009596
8c912d9c-2980-4c58-a460-f780d0a637d0,"24",campground,AZ,-111.4097142,31.6826383
8cd16e64-0309-464d-8ec7-d787b684990c,"1",campground,CA,-121.0095193,35.9779795
8d180148-a001-4192-84f5-6246dc8fb54c,"8",campground,AZ,-111.4847077,31.7176649
8e36b146-4e84-4d61-a463-bcc5455c31dd,"GLEASON-001",dispersed_camping,WA,-117.09542254041,48.5770770460868
8f7e601c-fafb-40fe-9f28-d6c45776f278,"3",campground,CA,-118.5490679,33.4733285
909d16a4-4e4b-40bc-84b1-dd1114e4c139,"WS2",dispersed_camping,UT,-109.804508,38.113509
90b34317-8fa8-4a60-9b29-39b2bd6a23aa,"CP3",dispersed_camping,UT,-109.8505765,38.1066798
929560d7-571e-4e72-bae4-f031712ddc81,"3",campground,CA,-118.4923248,33.4417243
92a90f53-fd15-4d84-a89e-44f09e40ea8d,"SC4",dispersed_camping,UT,-109.7707244,38.0553166
92b13f6c-0a56-40be-90b1-20a4aec77845,"B51",grocery,AZ,-112.1697608,33.4365146
